Study Accession,Sample Accession or Sample ID,gmhi_value,isHealthy
PRJEB6070,SAMEA2467036,-1.1355810693964223,True
PRJEB6337,SAMEA2581961,-1.1348820175909096,True
N7,SAMN08813940,-1.1348725584281296,False
PRJNA299502,SAMN04209239,-1.1298364557545293,False
L1,SAMEA2582151,-1.1297436083815064,False
V1,RHB_RAM_0098,-1.1291143790425258,False
PRJEB12123,SAMEA3708681,-1.1290803364481763,False
N4,SRR5275481,-1.1280251931791887,False
PRJEB6997,SAMEA2737709,-1.1271358813060512,False
L1,SAMEA2582181,-1.1261535418862465,False
PRJNA319574,SAMN06110261,-1.1255356321447567,True
PRJNA422434,SAMN00791922,-1.122942918211094,False
PRJEB21528,SAMEA104142372,-1.122942918211094,False
PRJEB7774,SAMEA3136623,-1.122792309366266,False
PRJEB1220,SAMEA2042603,-1.121807540135673,False
PRJDB3601,SAMD00036210,-1.1204112801760178,False
V1,RHB_RAM_0044,-1.120185892618777,False
PRJEB13870,SAMEA3951626,-1.1188373042887798,True
PRJNA422434,SAMN00791944,-1.1187830304440516,True
PRJDB3601,SAMD00036208,-1.1175695352114086,True
PRJNA305507,SAMN04329779,-1.114793982590841,True
PRJEB6997,SAMEA2737727,-1.1116376053261687,False
N7,SAMD00114803,-1.1112761934954145,False
PRJEB7774,SAMEA3136643,-1.1039933844944079,True
PRJEB15371,SAMEA4431952,-1.1026325870548197,True
N8,SAMEA4817935,-1.1021689063794353,True
PRJEB1786,SAMEA1906545,-1.1004873151542138,False
PRJEB4336,SAMEA2155520,-1.099654375521207,False
PRJEB1220,SAMEA2042111,-1.0979707372034773,False
N5,SRR5279244,-1.0965227380590137,False
PRJEB15371,SAMEA4431976,-1.0884038841734138,True
PRJEB4336,SAMEA2151633,-1.0858735885209012,False
PRJEB12123,SAMEA3708574,-1.0837343741652337,True
PRJNA422434,SAMN00715207,-1.082797254148113,False
PRJNA422434,SAMN00792062,-1.0822580925123313,False
PRJEB10878,SAMEA3541480,-1.0793164616422652,False
PRJEB21528,SAMEA104142150,-1.0780827008391292,True
PRJEB1786,SAMEA1906576,-1.0751906806154428,True
PRJEB6997,SAMEA2737794,-1.074934384771351,False
PRJEB6997,SAMEA2737830,-1.0677499501264593,True
PRJEB12449,SAMEA3879529,-1.067202210681327,False
N4,SRR5275480,-1.0664027203199118,False
N4,SRR5275426,-1.0659669128824958,False
PRJNA422434,SAMN00792032,-1.0640799835234285,False
L1,SAMEA2582186,-1.063816036998109,False
PRJEB12449,SAMEA3879608,-1.0630261383481625,False
PRJEB1220,SAMEA2042113,-1.0618135626088865,False
PRJDB3601,SAMD00036400,-1.0582248641476406,True
PRJEB12123,SAMEA3708505,-1.0552289164530175,False
PRJEB12449,SAMEA3879556,-1.054398377443042,False
PRJNA422434,SAMN00792094,-1.0536636288366745,False
PRJEB12123,SAMEA3708646,-1.0535942581128592,False
PRJEB12123,SAMEA3708685,-1.0530456906702805,False
PRJEB7774,SAMEA3136725,-1.0529758472758808,False
PRJEB6070,SAMEA2466973,-1.0521377307985815,False
PRJEB12123,SAMEA3708674,-1.0476729307131714,False
PRJEB7774,SAMEA3136651,-1.0453652393919282,False
